order_id,customer_id,product_id,order_date,amount,name,email,join_date,product_name,category,price
10001,39,1015,2023-08-15,497.49,Kristen,jenniferpratt@hotmail.com,2022-04-21,Near,Stationery,754.46
10008,33,1015,2024-10-22,350.77,Jared,austin98@gmail.com,2023-12-10,Near,Stationery,754.46
10045,33,1015,2023-04-30,385.34,Jared,austin98@gmail.com,2023-12-10,Near,Stationery,754.46
10059,24,1015,2023-04-02,269.31,Christopher,barnesmichael@cole.com,2022-08-19,Near,Stationery,754.46
10096,18,1015,2025-06-10,440.83,Travis,mjordan@snow.biz,2021-04-18,Near,Stationery,754.46
10065,39,1014,2023-06-06,360.4,Kristen,jenniferpratt@hotmail.com,2022-04-21,Today,Clothing,705.09
10093,16,1014,2025-06-18,416.64,Corey,kevinmaddox@barrett.biz,2023-09-12,Today,Clothing,705.09
10013,46,1014,2022-08-04,135.99,Ashlee,julie78@gmail.com,2020-12-30,Today,Clothing,705.09
10095,4,1014,2025-04-24,467.3,Meghan,allisonwallace@yahoo.com,2023-08-14,Today,Clothing,705.09
10066,39,1037,2023-06-12,247.41,Kristen,jenniferpratt@hotmail.com,2022-04-21,Dog,Stationery,51.4
10057,46,1037,2024-08-15,155.9,Ashlee,julie78@gmail.com,2020-12-30,Dog,Stationery,51.4
10090,30,1037,2022-11-28,175.03,Kelly,valerie91@hotmail.com,2020-07-22,Dog,Stationery,51.4
10074,39,1003,2024-11-04,314.75,Kristen,jenniferpratt@hotmail.com,2022-04-21,Region,Clothing,571.93
10087,39,1003,2024-05-22,262.44,Kristen,jenniferpratt@hotmail.com,2022-04-21,Region,Clothing,571.93
10075,12,1003,2023-07-31,265.87,Laura,kimberly04@anthony.com,2022-08-22,Region,Clothing,571.93
10071,25,1003,2025-06-11,169.16,Elizabeth,cindy08@yahoo.com,2021-06-02,Region,Clothing,571.93
10081,39,1035,2025-06-23,167.29,Kristen,jenniferpratt@hotmail.com,2022-04-21,General,Furniture,742.8
10060,43,1035,2024-03-04,276.48,Paul,ycunningham@gmail.com,2021-02-28,General,Furniture,742.8
10002,27,1047,2022-11-28,239.07,Angela,sarah35@yahoo.com,2023-07-11,Decide,Stationery,593.41
10025,50,1047,2023-08-28,383.56,Wyatt,jennifer42@gmail.com,2024-01-19,Decide,Stationery,593.41
10038,32,1047,2024-08-31,294.07,Aaron,smithgregory@martin-cruz.biz,2023-12-10,Decide,Stationery,593.41
10003,22,1033,2024-12-28,410.78,Craig,williamfarmer@yahoo.com,2021-12-27,Country,Furniture,150.66
10053,5,1033,2022-08-09,415.57,Andrew,tflores@smith-martin.com,2022-08-08,Country,Furniture,150.66
10067,41,1033,2024-03-06,462.1,Jamie,vsimmons@yahoo.com,2020-09-17,Country,Furniture,150.66
10022,22,1038,2025-01-18,352.87,Craig,williamfarmer@yahoo.com,2021-12-27,Star,Stationery,254.11
10073,8,1038,2023-01-07,274.7,Mark,lawrencechristopher@hotmail.com,2022-01-19,Star,Stationery,254.11
10012,38,1038,2023-06-26,121.13,Stephanie,qclark@wilson-harrington.com,2022-06-10,Star,Stationery,254.11
10004,8,1006,2022-09-25,272.11,Mark,lawrencechristopher@hotmail.com,2022-01-19,Modern,Electronics,748.15
10064,13,1006,2023-11-23,371.24,Francisco,clarkeerika@bass.info,2025-04-20,Modern,Electronics,748.15
10037,44,1006,2022-12-31,288.07,Michelle,wendy54@ramirez.com,2022-12-27,Modern,Electronics,748.15
10042,8,1010,2025-03-02,397.68,Mark,lawrencechristopher@hotmail.com,2022-01-19,Think,Clothing,268.93
10094,45,1010,2023-10-24,217.52,Carmen,heatherlozano@yahoo.com,2022-03-27,Think,Clothing,268.93
